# gameid,levelid,screen,fingerprint
18612,002,9,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000041000000000000000000000000000000420000000000000000000000000000004300000000000000000000000000000044000000000000000000000000000f1045121314151600000000000000001718461a1b1c1d1e650028003d3e3f401f2047222324252661000000000000002728482a2b2c2d2e28000000000000002f30493233343536adae0000000000003738943a3b3c3d3e0000000000000000000095000102030405060708090a0b0c00009600000102030405060708090a0b000097001011121314151617000001020000980038212223242526273b2b3c2b0000990030313233343536373c2c3d3b0000000040414243000102030405060700000000505152532e11121314151617c4c5c6c72806c4c54e2122232425262700000000000000000000000000000000
18612,002,10,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f1011121314151600000000000000006118381a631c631e63003d3e3f404142282063226524652665009e00000000002728652a612c612e28000000020304052f3061322834283600006101121314153738283aadaeadae00002002fb2324250000adae0000000000004803323334350000000000000000000040044243444500000000000000000000500552535455000000000000000102030405060708090000000000002e1112131400000102030000000000004e212223242b3c2728290000000203044f0607084142430c0d0e00000041424350c4c5c6313233c4c5c600000022232425262728292a2b2c2d2e
18612,002,11,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f101112131415160000000000000000176519281b3d3e3f40630061003d3e3f1f2821222324252600650028000000002728292a2b2c2d2e00610000000000002f3031323334353600280000000000003738393a3b3c3d3e00adae000000000000000000000102030405060708090a0b00000000000e0f101112131415161718ac000000001b1c1d1e1f2021222324250000000000200222232425262728292a0000000000300332333435363738393a000000000040044243444546010203040000000000500552535455560e0f101100000000002806c4c5c6c7c81b1cc4c500000000000000000000000020022223
18612,002,12,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f1011121314151600000000000000001718191a611c631e65003d3e3f4041421f2021222824652661000000000000002728292a482c612e28000000000000002f30313233342836adae0000000000003738393a3b3cadae00000000000000000000000000000000000000000000000000000000000000000000fb00000000000102030405060708090a0b0c0d0e0f101112131415161718fb1a1b1c010203046322232425262728292a2b2c1112131465020102030405060708090a6322232461031112131415161718191a6502222328042122c4c5c6c7c8c9cacb3003c4c550052002222324252627282940044243
18612,002,13,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f1011121314151600000000000000001761193d651c1d1e00610063003d3e3f1f6321226124252600280065000000002765292a282c2d2e00000038000000002f6131324434353600000028000000003728393a3b3c3d3e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009e00000000000000000000000000000002030405060708090a0b0c0d0e0f100112131415161718191a1b1c1d1e1f200222232425262728292a2b2c2d2e2f280332333435363738393a3b3c3d3e3f400442434445464748494a4b4c4d4e4f
18612,007,0,v1:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1e00000000000000000000000000000000000000001b00000000000000000000000000000000
18612,007,1,v1:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b00001c1e0000000000000000000000000000000000000000001c1d1e1e00000000000000001b
18612,007,2,v1:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1e000000000000000000000000
18612,007,3,v1:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1e000000001c1e000000000000000000000000
18612,007,4,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b000000
18612,007,5,v1:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b00000000000000000000000000000000000000000000000000000000000078000000000000001c1e000000000000790000000000000000000000000000
18612,007,6,v1:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1e00
18612,007,7,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1e0000000000000000000000000000000000000000000000
18612,007,8,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1e000000000000000000000000000000000000000000000000001b0000000000000000000000000000ff
18612,007,9,v1:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1e000000000000000000000000
18612,007,10,v1:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1e00000000000000000000000000000000000000000000001c1e
18612,007,11,v1:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ff0000000000000000000000000000001f0000000000000000000000
18612,008,0,v1:d8d9dadbdcdddedfe0e1e2e3e4e5e6e758595a5b5c5d5e5f6061626364656667d8d9dadbdcdddedfe0e1e2e3e4e5e6e758595a5b5c5d5e5f6061626364656667d8d9dadbdcdddedfe0e1e2e3e4e5e6e7d8d9dadbdcdddedfe0e1e2e3e4e5e6e70a0b0c0d0e0f101112131415161718193c3d3e3f404142434445464748494a4b6e6f707172737475767778797a7b7c7da0a1a2a3a4a5a6a7a8a9aaabacadaeafd2d3d4d5d6d7d8d9dadbdcdddedfe0e10405060708090a0b0c0d0e0f10111213e8e9eaebecedeeeff0f1f2f3f4f5f6f7868788ca0010ca868788898a8b8c8d8e000000000011000000000000000000000000000000000102000000000000000000000000008004050000000000000000000000000006070800000000000000000000000000090a0b0000000000bd000000000000000c0d0e0000000000ca000000000000000f10110000000000cbbd0000000000001213140000000000c7c90000000000001516170000000000d7d900000000000018191a0000000000d8da00c8c9cacb600000000000000000d9db00d8d9dadbd90000000000000000e7e98cdcdddedfda0000000000000002030400
18612,008,1,v1:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000dbd8d9dadbdcdddedfe0e1e2e3e4e5cad7dae8e9eaebecedeedbd8dae8e9ea00d8d9ca868788898acad7d9d9ca868700d9da00000000000000d8dada00000000dadb00000000000000d9dbdb00000000e7e900000000000000dadcdc00000000000000000000000000e7e8e900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000bd000000000000000000bdbe00000000ca000000000000000000c7c900000000cb000000000000000000e7e900000000cc00010203000a0b0c00000000000000000708090a000d0e0f00000000000000000e0f1011
18612,008,2,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000dae8e9eaebecedee000000000000dbd8d9ca0000000000000000000000cad7d9da00000000000000000000000000d8dadb00000000000000000000000000e7e8e900000000000000000000000000000000000000c7c8c9000000bd000000000000000000d7d8d9000000cabd0000000000000000d8d9da000000c7c90000000000000000d9dadb000000d7d90000000000ab0000dadbdc000000d8da0000000000000000dbdcdd0000bdd9db0000000000000000dcddde0000c7ebdc0000000000000000dddedf0000d7d8dd0000000000000000dedfe00000d8d9de0000000000000000dfe0e100
18612,008,3,v1:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000dae8e9eaebecdbd8d9dadbdcddde0000d9ca000000cad7f2f3f4f5f6f7f80000da0000010203040c0d0e0f1011120000db0008090a0b0c262728292a2b2c0000dc808111121314404142434445460000dd8283c8c9601cd8d9dadbdcddde0000de8485d8d96124e9eaebecedeeef0000e98687d9da622ce8e9dbd8d9dadb0000008889dadb633435cad7dfe0e1e20000008a8bdbdc643c3d3ed8e6e7e8e90000008c8ddcdd65444546d9dae8e9ea0000008e8f404166434445dad9ca86870000009091ad4067424344dbda4700000000009293000068040500dcdb00000000000000ad000069070800dddc00000000000000000000090a0b00e7e9000000000000000000000c0d0e0000ad000000000000000000000f101100000000000000000000000000121314000000000000000000000000001516170000000000000000000000000018191a00000000000000000000000000000000000000000000
18612,008,4,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000dae8e9eaebec00000000000000000000d9ca86878889000000dae8e9eaebecede90000000000000000d9ca868788898aca0000000000000000da000000000000000000000000000000e900000000000000000000000000ca0001020300000000000000ac000000000405060700000000000000ad0000000008090a0b0000bd000000000000000000000000000000cabd0000000000000000000000000000c7c90000000000000000000000000000e7e9000000bd0000c7c8c900000000000000000000cb0000d7d8d9bdbebfc0c1c7c9bdbe00000000d8d9dacacbcccdced7d9c7c900bdbebfd9dadb0000000000d8dad7d9ffcacbccdadbdc0000000000d9dbd8da00000000
18612,008,5,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000d8d9dadbdcdddedfe0e1e2e3e400000015161718191a1b1c1d1e1f202100000052535455565758595a5b5c5d5e000000d8d9dadbdcdddedfe0e1e2e3e4000000eaebecedeeeff0f1f2f3f4f5f60000dbfcfdfeff00010203040506070800cad7d8d9dadbdcdddedfe0e1e2e3e40000d8eaebecedeeeff0f1f2f3f4f5f60000d9fcfdfeff0001020304050607080000dad8d9dadbdcddded8d9dadbdcdd0000e7e8e9eaebecedeedbd8dae8e9ea000000cacbcccdcecfd0d7d8d9ca8687000000ad000000000000e7e8e90000000000000000000000000000ad0000000000000000000000000000000000000000000000000000000000000000000000bd0000000000000000000000abac0000ca000000000000000000000000000000cb000000bd0000000000000000000000c7000000c7c8c9c9000000000000bdbed7000000d7d8d9d9000000000000c7c9d8000000d8dadbda000000000000d7d9d9
18612,008,6,v1:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000dae8dbd8d9dadbdcdddedf0000000000d970d700010203040506070000000000da71d828292a2b2c2d2e2f0000000000db72e7e8e9eaebdbdae8e90000000000dc73ca868788cad7d9ca860000000000dd740000000000d8da00000000000000de750000000000d9db0000000000dbd8df760000000000dadc00000000cad7d9e0770000000000e7e90000000000e7e8e97801020000000000000000000000ca007900010000000000000000000000ad0006020300000000000000000000000000090405000000000000000000000000000c060700000000bd0000bd00000000000f080900000000ca0000c90000000000120a0b00000000cbbd00d90000000000150c0d00000000c7c900da0000000000180e0f00000000e7e900db00000000000010110000000203040b
18612,008,7,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000dbd8d9dadbdcdddedfe00000000000cad7e8e9eaebecedeeeff0000000000000d8f8f9fafbfcfdfeff00000000000000d9d8d9dadbdcdddae8e9000000000000dadedfe0e1e2e3d9ca86000000000000dbdae8e9eaebece90000ac0000000000dcd9ca86878889ca0000ad0000000000ddda0000000000000000000000000000dedb0000000000000000000000000000e7e9000000000000ab00000000000000ca000000000000000000000000000000ad000000000000ab000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102030405060700000506070000000d0e0f1011121314
18612,00C,0,v1:18191b1c0000000000000000910818191a1b000a00000b0a000b00000000282919001c0b0000000b000000fcfa0000003536000c0c000000000000009200000037380000000000000000000092000000393a1a0000000000000000000000000018191a1b1c1d1e1f202123240000000022232425262728292a2b00000000000000000000000000000000000000000000000000000000000000000000900000000000000000000000000000000a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a00000b0a000b0a00000000000000000b0000000b00000b00910000000000000c0000000000000c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18612,00F,0,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f0f1f2f3f4f5f6f7f8f9fafbfcfdfef2d1d1d1000000000000000000d1d10000d2d2d2000000000000000000d2d20000d3d3d3000000000000000000d3d30000d4d4d4000000000000000000d4d40000d5d5d5000000000000000000d5d50000d2d6d6000000000000000000d6d6000000d7d2000000000000000000d2d7000000d80000000000000000000000d8000000d20000000000000000000000d2000000000000000000000000000000f5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f2f000000000000000000000000000001011d1000000000000000000000000003b3cd2000000000000000000000000003d3ed300000000000000000000000000
18612,00F,1,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f0f1f2f3f4f5f6f7f8f9fafbfcfdfef200d100d100d1d1000000000000d1000000d200d200d2d2000000000000d2000000d300d300d3d3000000000000d3000000d400d400d4d4000000000000d4000000d500d500d5d5000000000000d5000000d600d600d6d6000000000000d6000000d700d700d7d2000000000000d2000000d200d800d200000000000000000102000001d900f50000000000000003040500030405001f00000000000000000000000000f5002000000000000000000000000000000021ac0000000000000000000000000000220000000000000000000000000000ac230000000000000000000000000000002400000708090a050600000000000000f400070b0c0d0e0c0d07000000000000d0000e0f10111213140f000000000000d10015131415161a1b1700
18612,00F,2,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f0f1f2f3f4f5f6f7f8f9fafbfcfdfef20000000000d1000000000000000000d10000000000d2000000000000000000d20000000000d3000000000000000000d30000000000d4000000000000000000d40000000000d5000000000000000000d50000000000d2000000000000000000d60000000000f5000000000000000000d7000000000000000000000000000000d8000000000000000000f40000000000d9000000000000000000d00000000000da0000f4000000000000d10000000000d20000d0000000000000d2f400000000f50000d1000000000000d3d000000000000000d2f40001020304d4d104050607080000d3d00005060708d5d211121314150000d4d100090a0b0cd6d31e1f2021220000d5d2000d0e0f10d7d42b0304052f0000d6d30011121314d8d5380607083c
18612,00F,3,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f0f1f2f3f4f5f6f7f8f9fafbfcfdfef2d1000000000000d1d1000000d1d10000d2000000000000d2d2000000d2d20000d3000000000000d3d3000000d3d30000d4000000000000d4d4000000d4d40000d5000000000000d5d5000000d5d50000d6000000000000d6d6000000d6d60000d7000000000000d2d7000000d7d70000d200000000000000d8000000d2d800000000000000000000d200000000d200000000000000000000000102000000000000000000000000000304050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f1011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18612,00F,4,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f0f1f2f3f4f5f6f7f8f9fafbfcfdfef200d1000000000000d1d10000d100000000d2000000000000d2d20000d200000000d3000000000000d3d30000d300000000d4000000000000d4d40000d400000000d5000000000000d2d50000d500000000d200000000000000d20000d600000000f500000000000000000102d20000000000000000000000000304050000000000000000f4000000000000000000000000000000d00000000000000000000000000000f4d10000000000000000000000000000d0d200000000f4000000f40000000000d1d300000000d0000000d00000000000d2d400000000d1000000d20000000000d2d200010203d205020304000000000001020708090ad30c050607000000000004050e0f1011d41308090a0000000000070815161718d51a0b0c0d0000
18612,00F,5,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f0f1f2f3f4f5f6f7f8f9fafbfcfdfef200d100000000000000000000d1d100d100d200000000000000000000d2d200d200d300000000000000000000d3d300d300d200000000000000000000d4d400d400f500000000000000000000d5d500d5000000000000000000000000d6d600d6000000000000000000000000d7d700d2000000000000000000000000d2d800f500f400000000000000000000f5d2000000d00000000000000000000000f5000100d1000000000000f40000020304070800d20000000000f4d000000506070e0ff4d30000000000d0d1000008090a1516d0d40000000102d2d200000b0c0d1c1dd1d5000003040500d300000e0f102324d2d6000006070800d400000102030405d3d70000090a0b00d5000708090a0b0cd4d800000c0d0e000001020f10111213
18612,00F,6,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f0f1f2f3f4f5f6f7f8f9fafbfcfdfef200d100000000000000000000000000d100d200000000000000000000000000d200d300000000000000000000000000d300d400000000000000000000000000d400d500000000000000000000000000d500d600000000000000000000000000d600d700000000000000000000000000d700d800000000000000000000000000d200d900000000000000000000000000f500d200000000000000f400000000000000f500000000000000d0000000000000000000000000000000d10000000000000000000000000000f4d20000000000000000000000000000d0d30000000000000000000000000000d1d40000000000000000000000000000d2d50000000000000000000000000000d3d60000000000000000000000000000d4d7000000000000
