moderated,time,date,gameid,name,demo,sa1,collab,author,authors,submitter,combinedtype,length,fields_type,difficulty,warnings,url,section,tags,bps_files,json_files,data_txid
,1776981719,,42246,New Super Mario World 3: Peach's Double Trouble [SMWC-Waiting 2026-04-23],No,No,No,Bullymario,Bullymario,Bullymario,Standard: Intermediate (diff_3) (standard),93 exit(s),Standard,Intermediate,,/?p=section&a=details&id=42246,smwhacks,"['asm', 'cutscenes', 'exgfx', 'hdma', 'music', 'smwc-waiting']",['37a4297cc323a5339368f2e3b0d71e4a202793f8.bps'],['37a4297cc323a5339368f2e3b0d71e4a202793f8.json'],voDKnj5KXfSR7WfzoavvUsvfcX9xFH4r1IJv9FzX-QM
,1776976052,,42245,Super Mario Mushroom Kingdom Madness [SMWC-Waiting 2026-04-23],Yes,No,No,Greeeen,Greeeen,Greeeen,Standard: Casual (diff_2) (standard),30 exit(s),Standard,Casual,,/?p=section&a=details&id=42245,smwhacks,['smwc-waiting'],['2ee96cee25b1051e89e15b8e622476e95d63f0bb.bps'],['2ee96cee25b1051e89e15b8e622476e95d63f0bb.json'],77uz6LbP4tZg0rfXUH8idU-Pm93NWQ2Uo4TLKILQJFw
,1776905403,,42238,Oblivion [SMWC-Waiting 2026-04-23],No,No,No,Bruno_Peixoto,Bruno_Peixoto,Bruno_Peixoto,Kaizo: Expert (diff_5) (kaizo),15 exit(s),Kaizo,Expert,,/?p=section&a=details&id=42238,smwhacks,['smwc-waiting'],['fdbbd3d89685ab8150a4f4690ef147822a652845.bps'],['fdbbd3d89685ab8150a4f4690ef147822a652845.json'],wRATJ8u3rUHEm9o-Y0hwrS8xqyX0VHAYSS5w0q5gLas
,1776628560,,42225,Oblivion [SMWC-Waiting 2026-04-19],No,No,No,Bruno_Peixoto,Bruno_Peixoto,Bruno_Peixoto,Kaizo: Expert (diff_5) (kaizo),15 exit(s),Kaizo,Expert,,/?p=section&a=details&id=42225,smwhacks,['smwc-waiting'],['6f461b61b1e5b91c742ef25d33758a13f2b95c5f.bps'],['6f461b61b1e5b91c742ef25d33758a13f2b95c5f.json'],tThKyfkWeMxXr4HjbFNBdRh9R8-eXSkoK4jFxEc1G9k
,1776564154,,42213,"Be FAST, if you can! [SMWC-Waiting 2026-04-19]",No,No,No,GuilhermeYT,GuilhermeYT,GuilhermeYT,"Standard, Tool-Assisted: Advanced (diff_4) (standard, tool_assisted)",2 exit(s),"Standard, Tool-Assisted",Advanced,,/?p=section&a=details&id=42213,smwhacks,['smwc-waiting'],['c881159fff007e44e267dfd1f2265b5bf1d35b39.bps'],['c881159fff007e44e267dfd1f2265b5bf1d35b39.json'],OxZFy8KQKw_qhkxlFufndsap8VsRzVCUXvtVH95pm_8
,1776359552,,42204,Kaizo: Maximum 'Zo [SMWC-Waiting 2026-04-16],No,No,No,MarsAmPear,MarsAmPear,MarsAmPear,Kaizo: Grandmaster (diff_7) (kaizo),10 exit(s),Kaizo,Grandmaster,,/?p=section&a=details&id=42204,smwhacks,"['vanilla', 'smwc-waiting']",['5cdeea97165ee513708e49566efefa37169836f4.bps'],['5cdeea97165ee513708e49566efefa37169836f4.json'],7oOasDFXsJNdKBusn9oDkY0yVrZYaUeJEkTAmWNbRdQ
,1776307685,,42201,Paths [SMWC-Waiting 2026-04-16],No,No,No,FiveFactor,FiveFactor,FiveFactor,Kaizo: Expert (diff_5) (kaizo),18 exit(s),Kaizo,Expert,,/?p=section&a=details&id=42201,smwhacks,['smwc-waiting'],['cf2be428ce4d54598bc2b1c2c338d59e514d2849.bps'],['cf2be428ce4d54598bc2b1c2c338d59e514d2849.json'],f4SQHW-qulWTrZOU5xg-kg4KAfccCzA4JN9qC_WIX_c
,1776204471,,42193,Pit of Gui! [SMWC-Waiting 2026-04-14],No,No,No,GuilhermeYT,GuilhermeYT,GuilhermeYT,"Tool-Assisted, Pit: Expert (diff_5) (tool_assisted, pit)",1 exit(s),"Tool-Assisted, Pit",Expert,,/?p=section&a=details&id=42193,smwhacks,['smwc-waiting'],['f6b35fbcbbe9ce53b6c988ecc6e72ca161a25822.bps'],['f6b35fbcbbe9ce53b6c988ecc6e72ca161a25822.json'],K__tDYgzRkZuy-FenG9_qrdD04cXmaIE9aLqsLbzdMY
,1776198899,,42191,Super Mario Super Quest Demo V.1.2 [SMWC-Waiting 2026-04-14],Yes,No,No,Greeeen,Greeeen,Greeeen,Standard: Intermediate (diff_3) (standard),27 exit(s),Standard,Intermediate,,/?p=section&a=details&id=42191,smwhacks,['smwc-waiting'],['b8ea58091dc0adbfb31c4b3f77d20e6ebc111e6a.bps'],['b8ea58091dc0adbfb31c4b3f77d20e6ebc111e6a.json'],G5D1adI8GX5D9RKFcxwxm6aQrVS-PaUBeuIJcUqzQ-8
,1776181090,,42188,Tears Joy and Happiness [SMWC-Waiting 2026-04-14],No,No,No,Jukeboxi_,Jukeboxi_,Jukeboxi_,Kaizo: Master (diff_6) (kaizo),21 exit(s),Kaizo,Master,,/?p=section&a=details&id=42188,smwhacks,"['castlevania', 'kaizo', 'mario', 'master', 'music', 'smwc-waiting']",['98827f62375f7973887412ba0c18708ccdd6d94c.bps'],['98827f62375f7973887412ba0c18708ccdd6d94c.json'],0al9m2hIw4FBRuRryzQv_vZqQTv0R2NNhlEGxu8_JxE
,1776049671,,42178,Super Mario Mania [SMWC-Waiting 2026-04-13],Yes,Yes,No,OiMuka,OiMuka,OiMuka,Standard: Advanced (diff_4) (standard),9 exit(s),Standard,Advanced,,/?p=section&a=details&id=42178,smwhacks,"['daisy', 'demo', 'luigi', 'mario', 'sa-1', 'smwc-waiting']","['ab202f8df166eea51e53513ede7dbbd68a2af728.bps', '9f25cf8b1071ce4d83b0ad886ef846bbb5c59f28.bps']","['ab202f8df166eea51e53513ede7dbbd68a2af728.json', '9f25cf8b1071ce4d83b0ad886ef846bbb5c59f28.json']",RJU2nvd9ORlc3NAQWlLb0th9uRmgvmlEvDGQkDblJ90
,1776014913,,42168,Oblivion [SMWC-Waiting 2026-04-12],No,No,No,Bruno_Peixoto,Bruno_Peixoto,Bruno_Peixoto,Kaizo: Expert (diff_5) (kaizo),14 exit(s),Kaizo,Expert,,/?p=section&a=details&id=42168,smwhacks,['smwc-waiting'],['8ac852ae46c892889bbfd997fd893d96db07989e.bps'],['8ac852ae46c892889bbfd997fd893d96db07989e.json'],Atmdk5RzElty6-P93thN9pFQSZT_aO4zgIkISIHqwh8
,1775872254,,42163,Super Mario Mania [SMWC-Waiting 2026-04-11],Yes,Yes,No,OiMuka,OiMuka,OiMuka,Standard: Advanced (diff_4) (standard),9 exit(s),Standard,Advanced,,/?p=section&a=details&id=42163,smwhacks,"['daisy', 'demo', 'luigi', 'mario', 'sa-1', 'smwc-waiting']","['5b3290af29def6ac9e7a72cd870b91712b9bb296.bps', '361f9bb54c589a090402aefcff0f359824636843.bps']","['5b3290af29def6ac9e7a72cd870b91712b9bb296.json', '361f9bb54c589a090402aefcff0f359824636843.json']",6Nr5yNtWvVuOMTG4qe0GYcFa3u32kEhB0TIRa4fmRUE
,1775839809,,42161,Kaizo: Maximum 'Zo [SMWC-Waiting 2026-04-10],No,No,No,MarsAmPear,MarsAmPear,MarsAmPear,Kaizo: Grandmaster (diff_7) (kaizo),10 exit(s),Kaizo,Grandmaster,,/?p=section&a=details&id=42161,smwhacks,"['vanilla', 'smwc-waiting']",['f222c1aa8b2418c15f6059d87409e115dbb63c1f.bps'],['f222c1aa8b2418c15f6059d87409e115dbb63c1f.json'],4r3CXXWVRzuKeU3MBX7hcYQtqXo12YPH4wAvCJAukcQ
,1775758583,,42156,CABRA TROLL [SMWC-Waiting 2026-04-09],Yes,Yes,Yes,Angel Miranda,"Angel Miranda, El Cabra Grande",Angel Miranda,Kaizo: Intermediate (diff_3) (kaizo),96 exit(s),Kaizo,Intermediate,,/?p=section&a=details&id=42156,smwhacks,"['asm', 'background', 'foreground', 'music', 'smwc-waiting']",['107e482453d6579182a8e84a1ec3b230943072d3.bps'],['107e482453d6579182a8e84a1ec3b230943072d3.json'],hNdBhknjqmuO6xDK6TiVYPtGkDBn3f9mQaCbxSj_Rvg
,1775755000,,42155,GrandShell [SMWC-Waiting 2026-04-09],No,No,No,theaixu022,theaixu022,theaixu022,Kaizo: Grandmaster (diff_7) (kaizo),6 exit(s),Kaizo,Grandmaster,,/?p=section&a=details&id=42155,smwhacks,['smwc-waiting'],['abc8d01ab92390ed8e879b96988451bb36d762b3.bps'],['abc8d01ab92390ed8e879b96988451bb36d762b3.json'],PQa4zivxfTX10Ef8ZIIfx07EaORsQb7LVbevoeGeu78
,1775616861,,42152,Paths [SMWC-Waiting 2026-04-08],No,No,No,FiveFactor,FiveFactor,FiveFactor,Kaizo: Expert (diff_5) (kaizo),18 exit(s),Kaizo,Expert,,/?p=section&a=details&id=42152,smwhacks,['smwc-waiting'],['c58e5b46786591e376de802a59c30648a3bae922.bps'],['c58e5b46786591e376de802a59c30648a3bae922.json'],ZJfLGKD0bxrOjt_nC5Q1zNS9u8pqBqYfLaS3MNTS7aw
,1775432105,,42138,Sonic Kaizo World [SMWC-Waiting 2026-04-05],No,No,No,sholmes,sholmes,sholmes,Kaizo: Advanced (diff_4) (kaizo),21 exit(s),Kaizo,Advanced,,/?p=section&a=details&id=42138,smwhacks,"['custom music', 'non mario', 'smwc-waiting']",['5deeb60701d6ea7ce79b5dec3ab9245e3ea8e919.bps'],['5deeb60701d6ea7ce79b5dec3ab9245e3ea8e919.json'],lb7Kt52GHvL5aIqm8ktpyPXddRzssQ7-J3TI9-bUnqk
,1775363842,,42129,Yoshi Commits Tax Fraud - The *Original* Version [SMWC-Waiting 2026-04-05],No,No,No,Ember the Mediocre,Ember the Mediocre,Ember the Mediocre,Tool-Assisted: Master (diff_6) (tool_assisted),16 exit(s),Tool-Assisted,Master,,/?p=section&a=details&id=42129,smwhacks,"['custom bosses', 'custom music', 'kaizo', 'percision', 'shell', 'smwc-waiting']",['d5961be1e6dc3000dcbc7b8ab0e52e7f0e8a5750.bps'],['d5961be1e6dc3000dcbc7b8ab0e52e7f0e8a5750.json'],TcxIcyls1ke0RVbGIBueZN87Swh05u0R-W6o7wQ4uBY
,1775262028,,42122,Supra Meyro Walrd [SMWC-Waiting 2026-04-04],Yes,No,No,Alann64Z,Alann64Z,Alann64Z,Kaizo: Advanced (diff_4) (kaizo),5 exit(s),Kaizo,Advanced,,/?p=section&a=details&id=42122,smwhacks,['smwc-waiting'],['2eafd137004b7e58bd7fef88cd1f0c69b98fa3b3.bps'],['2eafd137004b7e58bd7fef88cd1f0c69b98fa3b3.json'],l821fZ1VCHo_y8NKVlpA8_zWVKKstl-Qvude5XfI_hE
,1775207084,,42114,YNT MARIO [SMWC-Waiting 2026-04-03],No,Yes,Yes,YNT,"YNT, astm",astm,Standard: Advanced (diff_4) (standard),113 exit(s),Standard,Advanced,,/?p=section&a=details&id=42114,smwhacks,"['bosses', 'custom music', 'puzzle', 'translated', 'smwc-waiting']",['d79456e4506099547ee6a8df9b0347c1b8926032.bps'],['d79456e4506099547ee6a8df9b0347c1b8926032.json'],QtH8U5-oBMxkQ1clNr04w8astaziaxQDNaH-6nz16AI
,1775078619,,42103,Return of Mario bros [SMWC-Waiting 2026-04-01],Yes,No,No,MegaSonic1999,MegaSonic1999,MegaSonic1999,Standard: Intermediate (diff_3) (standard),15 exit(s),Standard,Intermediate,,/?p=section&a=details&id=42103,smwhacks,"['2 players', 'adventure', 'luigi', 'mario', 'smwc-waiting']",['222ff54ddecc50ea34d348d9498f4c2ad6af2a95.bps'],['222ff54ddecc50ea34d348d9498f4c2ad6af2a95.json'],Zh4jf1R_dnBbPvsCFV4tkfpJUDD8jyuayoRQdOuzCds
,1775017395,,42096,OneScreen [SMWC-Waiting 2026-04-01],No,No,No,HmWhyNot,HmWhyNot,HmWhyNot,Kaizo: Expert (diff_5) (kaizo),0 exit(s),Kaizo,Expert,,/?p=section&a=details&id=42096,smwhacks,"['april fools', 'one screen', 'single screen', 'singular screen', 'smwc-waiting']",['93320621c37031333868dfd921ead5a21eb03dae.bps'],['93320621c37031333868dfd921ead5a21eb03dae.json'],LGwn5407lqJTC1CXCMB7d2hnynyzrRFpSXxikyxXvi4
,1774996612,,42094,Catacismo REMASTERED [SMWC-Waiting 2026-03-31],No,No,No,GuilhermeYT,GuilhermeYT,GuilhermeYT,Kaizo: Advanced (diff_4) (kaizo),1 exit(s),Kaizo,Advanced,suggestive_content,/?p=section&a=details&id=42094,smwhacks,['smwc-waiting'],['7cc82e90421ff5323e8c8fd39547a8d8803d81e4.bps'],['7cc82e90421ff5323e8c8fd39547a8d8803d81e4.json'],YLRymjy9ChuQWSldup39t38npcLe3b6N71WLNOddGzg
,1774964921,,42089,Shell Or Die [SMWC-Waiting 2026-03-31],No,No,No,BielDusty,BielDusty,BielDusty,Kaizo: Master (diff_6) (kaizo),15 exit(s),Kaizo,Master,,/?p=section&a=details&id=42089,smwhacks,['smwc-waiting'],['cd8bd6745a4ac444681f1d51925b3138dd857f1f.bps'],['cd8bd6745a4ac444681f1d51925b3138dd857f1f.json'],jR0tw3cpbuZTsfzg4teM2m_VKqq43s8ujAClQKhFGFM
,1774754720,,42066,Mario's Epical Adventure DEMO [SMWC-Waiting 2026-03-29],Yes,No,No,Redguy,Redguy,Redguy,Standard: Casual (diff_2) (standard),11 exit(s),Standard,Casual,,/?p=section&a=details&id=42066,smwhacks,['smwc-waiting'],['73c3815bfee60b36301d4a7e43446aaf51c70fe5.bps'],['73c3815bfee60b36301d4a7e43446aaf51c70fe5.json'],95wyREwDZMyqSjzQsq8-qfvpcAbCWN7Xpf7oeH_0EuI
,1774408089,,42027,Super Mario Ribbon [SMWC-Waiting 2026-03-25],No,No,No,Redguy,Redguy,Redguy,Standard: Casual (diff_2) (standard),17 exit(s),Standard,Casual,,/?p=section&a=details&id=42027,smwhacks,['smwc-waiting'],['b8d333fa959e474a60f34859aca4fb88a5c11e42.bps'],['b8d333fa959e474a60f34859aca4fb88a5c11e42.json'],l41iOpqOQ-UNZy6u3a4t2tlvp3h76BVQ8c5NXN7F1NA
,1774006013,,41976,Iridium [SMWC-Waiting 2026-03-20],No,No,No,1mslakingoff,1mslakingoff,1mslakingoff,Kaizo: Expert (diff_5) (kaizo),17 exit(s),Kaizo,Expert,,/?p=section&a=details&id=41976,smwhacks,"['custom music', 'gimmick', 'smwc-waiting']",['687371ecd9415947174a8f226a4bd4a2ce9b2449.bps'],['687371ecd9415947174a8f226a4bd4a2ce9b2449.json'],5y9odN-iG5mwJXSMUppy7G4KkphRsu95FFtbqaMht_k
,1773798968,,41946,The Book Of SMW Cap1: The Divine Essences [SMWC-Waiting 2026-03-18],Yes,No,No,Gloomyerr_,Gloomyerr_,Gloomyerr_,Standard: Newcomer (diff_1) (standard),37 exit(s),Standard,Newcomer,,/?p=section&a=details&id=41946,smwhacks,"['comedy', 'custom boss', 'custom music', 'hdma', 'some puzzles', 'sprites', 'smwc-waiting']",['dbaebc107e7825880be4c3a98a758e26b4d37e8b.bps'],['dbaebc107e7825880be4c3a98a758e26b4d37e8b.json'],4636KnW33HVsjMD6otNMqx4R0X1KjAqzvKNd5ig3Dkg
,1773794655,,41945,Rosalina's Gold Saga [SMWC-Waiting 2026-03-18],No,No,No,Tiozinho,Tiozinho,Tiozinho,Standard: Intermediate (diff_3) (standard),44 exit(s),Standard,Intermediate,,/?p=section&a=details&id=41945,smwhacks,"['custom boss', 'exgfx', 'exploration', 'portuguese', 'rosalina', 'vanilla', 'smwc-waiting']","['6ee4f7a213ef57b761e92cf3d316a756e1e28f31.bps', '31d09e819cd34c13bc5b67af7d41798866718b3f.bps']","['6ee4f7a213ef57b761e92cf3d316a756e1e28f31.json', '31d09e819cd34c13bc5b67af7d41798866718b3f.json']",hIW5ihCu6a4oKyv6dFgSGWCRyJPLwIlzdwrB0kBkUlc
,1773783068,,41933,Sakaya Sanctuary [SMWC-Waiting 2026-03-17],No,No,Yes,Jeff2342,"Jeff2342, JinRokhZenobi, RandomType, Saphros, Spedinja, TheTrueCommonSense, neidoodle, ocked",neidoodle,Kaizo: Expert (diff_5) (kaizo),20 exit(s),Kaizo,Expert,,/?p=section&a=details&id=41933,smwhacks,"['chocolate', 'yoshi', 'smwc-waiting']",['c7e6ca028ea6a39c9c805fb8e3be7fc036c50ba3.bps'],['c7e6ca028ea6a39c9c805fb8e3be7fc036c50ba3.json'],KqcY4Ix7dmySvDyuZ0otHBIpomaB6LhZX8qd4LtE9HY
,1773766648,,41929,Sonic Kaizo World [SMWC-Waiting 2026-03-17],No,No,No,sholmes,sholmes,sholmes,Kaizo: Advanced (diff_4) (kaizo),21 exit(s),Kaizo,Advanced,,/?p=section&a=details&id=41929,smwhacks,"['custom music', 'non mario', 'smwc-waiting']",['7deb4a08544e14f65e2f273900b8f993b66a0b7e.bps'],['7deb4a08544e14f65e2f273900b8f993b66a0b7e.json'],DERVlddo30_ZvhltkjbxzmuFugUQdbjsVqy5XWJH1fA
,1773327708,,41898,Tangle's Trip [SMWC-Waiting 2026-03-12],No,No,No,sholmes,sholmes,sholmes,Standard: Advanced (diff_4) (standard),11 exit(s),Standard,Advanced,,/?p=section&a=details&id=41898,smwhacks,"['hard', 'less exgfx', 'music', 'non mario', 'smwc-waiting']",['2d6f087583a350c7e7e441ab700f796054db64e6.bps'],['2d6f087583a350c7e7e441ab700f796054db64e6.json'],PzLeFutednYBVaZJh2DUzi4RLeG3XYKvC4K36RzArYw
,1773193549,,41890,Jam [SMWC-Waiting 2026-03-11],No,No,No,PopCorn181,PopCorn181,PopCorn181,Kaizo: Master (diff_6) (kaizo),14 exit(s),Kaizo,Master,,/?p=section&a=details&id=41890,smwhacks,"['cape', 'music', 'puzzle', 'shell', 'smwc-waiting']",['102f3cb4dd74f0e6b099d89cf295640b12b51e67.bps'],['102f3cb4dd74f0e6b099d89cf295640b12b51e67.json'],UnIkHZGObSF38n7X-kSXezSKgr5J7fpz60cusSq6jUU
,1773191926,,41889,On The Edge [SMWC-Waiting 2026-03-11],No,No,No,naBerada,naBerada,naBerada,Kaizo: Expert (diff_5) (kaizo),8 exit(s),Kaizo,Expert,,/?p=section&a=details&id=41889,smwhacks,"['shell', 'smwc-waiting']",['436b1553e4aad3a41f93a09835102203a70c0cbd.bps'],['436b1553e4aad3a41f93a09835102203a70c0cbd.json'],GuoANO2Em8fl-o3wak-yysmHTsMjNiUj-RizIr4eOqw
,1773174939,,41887,Rosalina's Gold Saga [SMWC-Waiting 2026-03-10],No,No,No,Tiozinho,Tiozinho,Tiozinho,Standard: Intermediate (diff_3) (standard),44 exit(s),Standard,Intermediate,,/?p=section&a=details&id=41887,smwhacks,"['exgfx', 'exploration', 'music', 'portuguese', 'rosalina', 'vanilla', 'smwc-waiting']","['beb93cc66e79b73a2850db3fbc22f0ac8b03b47e.bps', '653653506b3b6685213b00c1210659c15fcd5631.bps']","['beb93cc66e79b73a2850db3fbc22f0ac8b03b47e.json', '653653506b3b6685213b00c1210659c15fcd5631.json']",fBHfuW8D-bdex8LWVOw-njObRH1dHQY2ujJv9PJJ-TY
,1773132331,,41886,Super Weegle World (Demo Version) [SMWC-Waiting 2026-03-10],Yes,Yes,No,LennoxFoxwood,LennoxFoxwood,LennoxFoxwood,Standard: Intermediate (diff_3) (standard),8 exit(s),Standard,Intermediate,crude_content,/?p=section&a=details&id=41886,smwhacks,"['demo', 'gauntlet', 'no boss', 'sa-1', 'weegle', 'smwc-waiting']",['cb59ed697394fb5dc49cc119c3b03bab7f1a0fb2.bps'],['cb59ed697394fb5dc49cc119c3b03bab7f1a0fb2.json'],26vPqfxVtSgvq9JNEROtygngVxJeLeWJ9Qk3q2bcN9k
,1773115160,,41884,Super Xoxao World (demo) [SMWC-Waiting 2026-03-10],Yes,No,Yes,Mary's Dreamland,"Mary's Dreamland, xoxao, yagoquefazcoisas",Mary's Dreamland,Standard: Advanced (diff_4) (standard),3 exit(s),Standard,Advanced,suggestive_content,/?p=section&a=details&id=41884,smwhacks,['smwc-waiting'],['aa9fa56863f9d91c252fbd9ef06f1ddacc0abc21.bps'],['aa9fa56863f9d91c252fbd9ef06f1ddacc0abc21.json'],8RLMyZx1s5YZq2B9csKJhoAesWQHLqQZiDXW2IBF7wc
,1772323274,,41821,Sakaya Sanctuary [SMWC-Waiting 2026-03-01],No,No,Yes,Jeff2342,"Jeff2342, JinRokhZenobi, RandomType, Saphros, Spedinja, TheTrueCommonSense, neidoodle, ocked",neidoodle,Kaizo: Expert (diff_5) (kaizo),20 exit(s),Kaizo,Expert,,/?p=section&a=details&id=41821,smwhacks,"['chocolate', 'yoshi', 'smwc-waiting']",['e7d87f424fe3720916c9134f3848e1b8d7ce65f7.bps'],['e7d87f424fe3720916c9134f3848e1b8d7ce65f7.json'],JYDD_ZpLu_ua2HXq47R4iluaZvgp0w054UxwLKKIge0
,1772119245,,41805,BALL BUSTER [SMWC-Waiting 2026-02-26],No,Yes,No,NerDose,NerDose,NerDose,Kaizo: Expert (diff_5) (kaizo),9 exit(s),Kaizo,Expert,crude_content,/?p=section&a=details&id=41805,smwhacks,"['bosses', 'gimmick', 'smwc-waiting']",['e6113259a283e4d0fa276f0b8ec8876fb04b890d.bps'],['e6113259a283e4d0fa276f0b8ec8876fb04b890d.json'],5hTAhcPowHrGVmuAHLz1dwV2cDGiwIklcO_7-RU-dNI
,1771937931,,41782,PATHMAKER [SMWC-Waiting 2026-02-24],No,Yes,No,Tob,Tob,Tob,Puzzle: Intermediate (diff_3) (puzzle),5 exit(s),Puzzle,Intermediate,,/?p=section&a=details&id=41782,smwhacks,"['gimmick', 'puzzle', 'short', 'smwc-waiting']",['e3be873debb3dccbde626c5aa27b44b8d8593579.bps'],['e3be873debb3dccbde626c5aa27b44b8d8593579.json'],KmNspiyQoP3gBjkrP0r1cpAk3rzq6UBrXHBBn4HK5pE
